case_id,question_id,distractor,construct,subject,question,correct_answer,student_wrong_answer,ground_truth_id,ground_truth_name,label_frequency,frequency_bucket,candidate_01_id,candidate_01_name,candidate_02_id,candidate_02_name,candidate_03_id,candidate_03_name,candidate_04_id,candidate_04_name,candidate_05_id,candidate_05_name,candidate_06_id,candidate_06_name,candidate_07_id,candidate_07_name,candidate_08_id,candidate_08_name,candidate_09_id,candidate_09_name,candidate_10_id,candidate_10_name,candidate_11_id,candidate_11_name,candidate_12_id,candidate_12_name,candidate_13_id,candidate_13_name,candidate_14_id,candidate_14_name,candidate_15_id,candidate_15_name,candidate_16_id,candidate_16_name,candidate_17_id,candidate_17_name,candidate_18_id,candidate_18_name,candidate_19_id,candidate_19_name,candidate_20_id,candidate_20_name,candidate_21_id,candidate_21_name,candidate_22_id,candidate_22_name,candidate_23_id,candidate_23_name,candidate_24_id,candidate_24_name,candidate_25_id,candidate_25_name
EEDI-001,0,D,Use the order of operations to carry out calculations involving powers,BIDMAS,"\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?",\( 3 \times(2+4)-5 \),Does not need brackets,1672,"Confuses the order of operations, believes addition comes before multiplication ",1,1 occurrence,656,Reverses the order of operations but does not apply the inverse operations when finding the input of a function machine,516,Thinks the inverse of multiplication is addition,1119,Does not interpret the correct order of operations in a fraction when there is an addition on the numerator,1026,Does not reverse the order of operations when finding the input of a function machine,1679,Uses addition instead of the associative property of multiplication,2586,Misunderstands order of operations in algebraic expressions,638,Believes multiplication is not commutative,1866,Confuses additive and multiplicative relationships,2488,Answers order of operations questions with brackets as if the brackets are not there,1672,"Confuses the order of operations, believes addition comes before multiplication ",1170,Confuses the order of the digits in stick multiplication,1971,Confuses the inverse operations of addition and subtraction when rearranging equations,414,Divides by the order of the root,1429,Believes equivalent fractions are formed with addition not multiplication,1205,Thinks a variable next to a number means addition rather than multiplication,328,Performs addition ahead of multiplication,2518,May have made a calculation error using the order of operations,1941,"Confuses the order of operations, believes subtraction comes before multiplication ",520,Thinks the inverse of addition is multiplication,2532,Believes order of operations does not affect the answer to a calculation,1999,Does not interpret the correct order of operations from a worded problem,256,Does not reverse the order of operations when solving an equation,1856,Thinks multiplication and addition are the same,158,"Believes addition comes before indices, in orders of operation",15,"Confuses the order of operations, believes addition comes before division"
EEDI-002,100,D,Interpret a pie chart,Pie Chart,This pie chart shows the colour of hats that Tom owns. ![Pie chart showing the colour of Tom's hats. Blue is 90 degrees. Yellow is approximately 195 degrees. Red is approximately 40 degrees and green approximately 35 degrees.]() What fraction of Tom's hats are not blue?,\( \frac{3}{4} \),Impossible to say,1326,Does not know the meaning of square sign for right angle,1,1 occurrence,222,Does not know the meaning of absolute value,114,Does not know the meaning of the word parallel,1327,Does not know the meaning of attribute data,1693,"Does not know the meaning of common, eg. common factor",1528,Does not know the meaning of alternate,478,Does not know what a square number is,366,Does not know the meaning of the identity symbol,1513,Does not know the meaning of perpendicular,423,Does not know the meaning of equilateral,1351,Does not know the meaning of congruent,219,Does not know that a right angle is 90 degrees,2467,Does not know the meaning of the word equidistant ,137,Does not know the meaning of the word identity ,933,Does not know the meaning of corresponding,2494,Does not know the meaning of consecutive,255,Does not know the meaning of the word regular ,1083,Does not know the meaning of uniform cross section,1470,"Does not know the meaning of the word ""product""",1428,"Does not understand the meaning of ""value""",2321,does not know the meaning of the word digit,701,Does not know the meaning of vertically opposite,465,Does not know the diagonals of a square bisect at right angles,2130,"Does not know the meaning of the word ""sum""",1009,Does not know the meaning of bisect,1326,Does not know the meaning of square sign for right angle
EEDI-003,1000,D,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{1-t}{t-1} \)",\( -1 \),Does not simplify,353,Does not recognise when one part of a fraction is the negative of the other,1,1 occurrence,1133,Does not recognise a quadratic graph,1469,Does not recognise when simplifying a fraction may be helpful,2215,Does not recognise when to find a factor from a worded question,1348,Does not recognise a parallelogram,748,"When finding the negative power of a negative power, assumes they can ignore one of the negatives",1226,Does not recognise the distributive property,441,Does not recognise a unit of volume,2340,Does not recognise when to find a multiple from a worded question,113,Does not recognise difference of two squares,865,Does not recognise a unit of mass,941,Does not recognise that subtracting a larger number from a smaller number will give a negative answer,136,Does not recognise a reciprocal equation,353,Does not recognise when one part of a fraction is the negative of the other,1740,Does not recognise the properties of a kite,1806,Only recognises the negative form of a quadratic graph,1373,Does not recognise a unit of time,899,Does not recognise parallel lines angle rules,2050,Does not recognise a unit of length,1480,Does not recognise the notation for parallel sides,2021,Does not recognise when a fraction can be simplified,257,Uses numerator as whole part of a fraction,578,Does not recognise when a surd can be simplified,167,Does not recognise factorising a quadratic,1361,Does not recognise that addition is the inverse operation of subtraction,1892,Does not recognise the sin graph
EEDI-004,1006,D,"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,"The area of this trapezium is
\(
30 \mathrm{~cm}^{2}
\)
What measurement should replace the star? ![A trapezium with 8cm and a star on the parallel sides, and the perpendicular height is 5cm.]()",\( 4 \mathrm{~cm} \),Not enough information,305,Does not know the formula for area of a trapezium,1,1 occurrence,1883,Uses only the base and perpendicular height when calculating the area of a trapezium,402,Does not know the definition of a cone,2197,Thinks you multiply parallel sides to find the area of a trapezium,2072,Confuses formulae for area of triangle and area of rectangle,1252,Doesn't know the area of a triangle formula,2511,Does not know the properties of a linear graph,295,Does not know the word and/or does not know the function of a compass,653,Does not have when calculating the area of a triangle,2195,Does not know the definition of a prime number,2353,Does not divide by 2 when calculating the area of a trapezium,680,Does not know the term transversal,2332,Uses slant height instead of perpendicular height to find area of a trapezium,305,Does not know the formula for area of a trapezium,1180,Does not know the properties of a rectangle,634,Does not know the term numerator,1788,Uses slant heights instead of parallel sides to find area of a trapezium,2450,Does not half sum of parallel sides when finding area of a trapezium,1927,Does not know the definition of a prism,1059,Does not know the definition of the range,2388,Uses formula for area of a parallelogram when finding the area of a trapezium,1528,Does not know the meaning of alternate,2115,Believes any of the angles can be used in the trigonometric formula for area of a triangle,396,Does not recognise the height of a trapezium as the perpendicular length between the parallel sides,1175,Uses base instead of height as h in area of a trapezium formula,2103,Believes h in the formula for area of a trapezium stands for half the sum of the parallel sides
EEDI-005,1012,B,"Multiply algebraic terms, involving non-linear versions of the same letter (e.g. 4a2 x 2a)",Multiplying Terms,"Which of the following expressions is equivalent to:
\(
\left(2 p^{2}\right)^{3}
\)",\( 8 p^{6} \),\( 8 p^{2} \),1443,"Thinks that when raising a variable with a coefficient to a power, only the coefficient is affected by the power",1,1 occurrence,1113,"When substituting a value into a non-linear term with a coefficient, multiplies by the coefficient then calculates the power.",1137,"When squaring a variable with a power, thinks that the power is squared rather than doubled. ",1233,"Believes that when eliminating a variable, if the signs of the terms with matching coefficients are the same, we add the equations.",2441,Thinks multiplying by a number is the same as raising to the power of that number,1885,Thinks a power raised to a power leads to addition of the powers,1443,"Thinks that when raising a variable with a coefficient to a power, only the coefficient is affected by the power",32,"When squaring a variable, believes they also need to square the coefficient",593,Thinks multiplying by a variable is the same as raising to the power of that variable,2274,"When dividing variables, thinks they subtract coefficients as well as powers",1092,Cannot spot a coefficient within a written scenario,196,Confuses a variable with an equation,298,Confuses a constant with a variable,400,Thinks multiplying a variable by a number is the same as raising that variable to the power of that number,199,"Believes that when multiplying a number with a power, the multiplier is added onto the power",2114,"When completing the square, believes a coefficient of x^2 does not affect the value of the constant inside the bracket",2077,"Believes that when eliminating a variable, if the signs of the terms with matching coefficients are different, we subtract the equations.",341,Believes the second term in a 2 term quadratic equation is always a coefficient and the variable,452,"When a variable in an expression has a power, thinks the power applies to the whole expression",2008,"When substiting into an algebraic term, raises the coefficient to the power of the variable rather than multiplying the coefficient and the variable..",267,Writes the variable before the coefficient in an algebraic term,2372,"Believes that when factorising a quadratic with a coefficient of x squared, the two constants in the brackets still add to give the coefficient of x",1091,Confuses a variable with a formula,528,Does not think that a variable with no coefficient has a coefficient of 1.,1420,"Believes that when eliminating a variable, regardless of the signs of the terms with matching coefficients, we subtract the equations",2088,"When multiplying variables, thinks they add coefficients as well as powers"
EEDI-006,1017,A,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,Solving Linear Inequalities,"Solve the inequality:
\(-3>p-1\)",\( p<-2 \),\( p<-4 \),2217,Thinks subtracting a negative makes your answer smaller,1,1 occurrence,1400,Believes dividing a negative by a negative gives a negative answer,2225,Thinks signs are interchangeable when adding or subtracting positive and negative numbers,1648,Believes dividing two positives will give a negative answer,433,Believes a negative power results in a negative answer,479,Thinks a divide and a negative sign next to each other makes a plus,160,Believes that adding a positive to a negative makes your answer more negative,2217,Thinks subtracting a negative makes your answer smaller,1558,Believes dividing a positive by a negative gives a positive answer,947,Makes the number negative when asked to find the reciprocal,1805,Does not realise that subtracting a negative is the same as adding it's additive inverse,1937,Believes subtracting a positive number from a negative number makes the answer less negative,2566,"When subtracting a negative number, subtracts the absolute value rather than adding it",2018,Thinks a divide and a negative sign next to each other makes a minus,774,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer",974,Believes multiplying a positive by a negative gives a positive answer,152,"Believes that the smaller a divisor is, the smaller the answer will be",2019,"When there's a negative sign in the question, thinks the answer must be negative",1435,When subtracting from a negative thinks the answer must be positive,1282,When subtracting a negative thinks the answer must be negative ,2408,Does not realise that subtracting a larger number will give a smaller answer,1597,Believes multiplying two negatives gives a negative answer,1800,Believes multiplying two positives gives a negative answer,34,Believes dividing a negative by a positive gives a positive answer,1135,"When subtracting a negative number, adds the absolute values and then writes the answer with a negative sign",941,Does not recognise that subtracting a larger number from a smaller number will give a negative answer
EEDI-007,1020,C,Solve length problems involving similar shapes where the missing length is the shorter one,Length Scale Factors in Similar Shapes,"Rectangle \( \mathrm{P} \) has been enlarged by a scale factor of \( 1.5 \) to give rectangle \( \mathrm{Q} \).

What length should replace the star? ![Two rectangles, the smaller labelled P and the larger labelled Q. Q has width 9cm and length 12cm. The length of P is marked with a star.]()",\( 8 \mathrm{~cm} \),\( 9 \mathrm{~cm} \),637,Does not recognise the corresponding sides in similar shapes or enlargements,1,1 occurrence,167,Does not recognise factorising a quadratic,293,Does not understand that similar shapes sides must all have the same scale factor,637,Does not recognise the corresponding sides in similar shapes or enlargements,1226,Does not recognise the distributive property,1740,Does not recognise the properties of a kite,1892,Does not recognise the sin graph,912,Thinks adding the same value to each side makes shapes similar,1509,Does not realise that all regular shapes of a certain type will be similar,1480,Does not recognise the notation for parallel sides,2050,Does not recognise a unit of length,2188,"Does not understand that enlargements can make shapes make shapes bigger, smaller and the same size",396,Does not recognise the height of a trapezium as the perpendicular length between the parallel sides,2360,Thinks the scale factor is found by adding the lengths of two corresponding sides together,1373,Does not recognise a unit of time,1242,Does not recognise the similar shape as the shape has been rotated and the scale factor is less than 1,1348,Does not recognise a parallelogram,865,Does not recognise a unit of mass,136,Does not recognise a reciprocal equation,1133,Does not recognise a quadratic graph,1117,"When finding a missing length on similar shapes, just find the scale factor",1281,Does not understand that similar shapes and enlarged shapes will have the same size angles as the original,1583,Does not recognise the origin as the starting point for coordinates,36,Enlarges by the wrong centre of enlargement,933,Does not know the meaning of corresponding,2021,Does not recognise when a fraction can be simplified
EEDI-008,1025,A,Read the graphical solution to a pair of linear simultaneous equations from a diagram,Graphical Solution of Simultaneous Equations,"According to the graph, what are the solutions to the simultaneous equations? ![The image is of a set of axes with two straight lines drawn on. The red line goes through the points (0,6) and (3,0). The blue line goes through the points (0,3) and (6,0)and the two lines cross at (2,2).]()","\( x=2, \quad y=2 \)","\( x=3, \quad y=6 \)",1464,"When solving simultaneous equations graphically, they think the solutions are the y-intercepts",1,1 occurrence,1454,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations,930,When solving simultaneous equations thinks that identical terms in given equations can be eliminated by either adding or subtracting.,2324,Believes the y-intercept of a line is the root of its equation,94,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical",1728,"When solving a pair of simultaneous equations, thinks they need to make the coefficients of both variables the same",2060,"When solving simultaneous equations graphically, they think the solutions are the x or y intercepts",1768,Believes the y-intercept of a line is the solution to its equation,1729,"When solving simultaneous equations, finds the correct numbers to transform the equations, but uses them the wrong way around.",614,"When solving simultaneous equations, thinks you only transform the term that is being eliminated, rather than the whole equation.",2291,"When solving simultaneous equations, thinks they can't multiply each equation by a different number",379,Finds the y intercept when asked to read the solution to a quadratic equation from a graph,1266,"When solving simultaneous equations, thinks they can ignore one of the variables",200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated",1020,Believes it's not possible to solve simultaneous equations graphically,569,Believes the solutions to an equation have opposite signs from its x intercepts,967,"When solving simultaneous equations graphically, only gives one of two solutions",370,"When solving simultaneous equations, believes the terms must have the same sign in order to be eliminated.",1439,"When solving simultaneous equations, assumes every variable has equal value.",1146,"When solving simultaneous equations, believes the terms must be of opposite signs in order to be eliminated.",1274,Subtracts simultaneous equations when addition is required,384,"When solving simultaneous equations graphically, they think the solutions are the x-intercepts",1464,"When solving simultaneous equations graphically, they think the solutions are the y-intercepts",512,"When asked to solve simultaneous equations, believes they can just find values that work in one equation",1506,Believes transforming some terms in simultaneous equations is sufficient,1268,"When solving simultaneous equations, thinks you only transform the algebraic terms, rather than the whole equation."
EEDI-009,1033,B,"Solve basic introduction simultaneous equation problems, often involving shapes and symbols",Simultaneous Equations,"Chris orders \( 3 \) cups of tea and a cake, and his bill comes to £3.10

Amy orders \( 5 \) cups of tea and a cake, and her bill comes to \( £ 4.50 \).
How much does one cup of tea cost?",\( 70 p \),\( 90 p \),1266,"When solving simultaneous equations, thinks they can ignore one of the variables",1,1 occurrence,512,"When asked to solve simultaneous equations, believes they can just find values that work in one equation",748,"When finding the negative power of a negative power, assumes they can ignore one of the negatives",2060,"When solving simultaneous equations graphically, they think the solutions are the x or y intercepts",1729,"When solving simultaneous equations, finds the correct numbers to transform the equations, but uses them the wrong way around.",1268,"When solving simultaneous equations, thinks you only transform the algebraic terms, rather than the whole equation.",930,When solving simultaneous equations thinks that identical terms in given equations can be eliminated by either adding or subtracting.,775,"When adding variables with powers, thinks they can add the powers",370,"When solving simultaneous equations, believes the terms must have the same sign in order to be eliminated.",80,Thinks you can ignore the variable when simplifying algebraic fractions,1439,"When solving simultaneous equations, assumes every variable has equal value.",1196,"When solving an equation where there is a negative sign in front of the variable at the final stage, believes they can ignore it and treat it as if it's positive",1146,"When solving simultaneous equations, believes the terms must be of opposite signs in order to be eliminated.",94,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical",384,"When solving simultaneous equations graphically, they think the solutions are the x-intercepts",614,"When solving simultaneous equations, thinks you only transform the term that is being eliminated, rather than the whole equation.",1728,"When solving a pair of simultaneous equations, thinks they need to make the coefficients of both variables the same",1020,Believes it's not possible to solve simultaneous equations graphically,967,"When solving simultaneous equations graphically, only gives one of two solutions",1464,"When solving simultaneous equations graphically, they think the solutions are the y-intercepts",1219,Gives the value for the wrong variable when answering a simultaneous equation question,1266,"When solving simultaneous equations, thinks they can ignore one of the variables",1274,Subtracts simultaneous equations when addition is required,200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated",2291,"When solving simultaneous equations, thinks they can't multiply each equation by a different number",1454,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations
EEDI-010,1034,A,Place or identify the location of an integer between 100 and 1000 on a number line,Estimation,Which number line shows a good estimate for the position of the number shown?,"![A number line from 1000 to 2000 with the value 1250 correctly labelled, with an arrow, between 1000 and the midpoint]()","![A number line from 0 to 10000 with the value 857 incorrectly labelled, with an arrow, between the midpoint and 10000]()",1957,"Reads 10,000 as 1000",1,1 occurrence,526,Thinks there are 10000mm in a km,508,Thinks there are 1000 seconds in an hour,1398,Divided by 100 rather than 1000,861,Reads a power as a normal digit,1476,Thinks 1 square metre = 1000 square centimetres,962,Thinks 1 cubic metre = 1000 cubic centimetres,1484,Thinks 1l = 10 000 cubic centimetres,39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage,474,Thinks 1l = 100 cubic centimetres,1870,Thinks there are 10000mm in a metre,2067,Thinks there are 10000ml in a litre,2123,Divided by 100 rather than 10,1320,Multiplied by 10 rather than 100,395,"Thinks there are 10,000kg in a tonne",308,Believes that dividing by 100 gives 10%,854,Divided by 100 rather than multiplied by 100,67,Divides by 1000 instead of 100 when converting a decimal to a percentage,1204,Multiplied by 100 rather than divided by 100,2244,"Thinks there are 10,000g in a kilogram",1957,"Reads 10,000 as 1000",1253,"Thinks 1 cubic metre = 100,000 cubic centimetres",619,Divided by 10 rather than 100,1673,Multiplied by 1000 instead of 100,938,"Thinks 1 square metre = 100,000 cubic centimetres",1622,Divides by 1000 instead of 100 when converting a percentage to a decimal
