"problem_id","problem_summary","target_user","problem_strength_0_10","current_workflow_summary","BEST_NON_AI_SYSTEM","non_ai_strength_0_10","what_non_ai_handles_well","what_non_ai_cannot_reasonably_handle","BEST_MODEL_ENABLED_SYSTEM","model_type_needed","model_indispensable_capability","model_necessity_0_10","AI_classification","product_core_loop","product_loop_strength_0_10","30_second_demo","demo_strength_0_10","practical_value_0_10","evaluation_possible","implementation_risk","high_stakes_dependency","source_strength","reviewer_confidence","decision","decision_reason","algorithm_trap"
"P001","Submit and track digital complaints","rural elderly citizens","6","account form routing followup","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-NATIVE","rural elderly citizens -> free text photos forms status -> CV/audio/speech/HTR interpretation or deterministic decision -> correct route and plain status -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","HUMAN-IN-LOOP","H","MEDIUM","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P002","Navigate online government procedure","low-literacy disabled citizens","6","read form upload evidence","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","low-literacy disabled citizens -> forms scans speech -> CV/audio/speech/HTR interpretation or deterministic decision -> legible submission next step -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","HUMAN-IN-LOOP","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P003","Route disparate citizen feedback","local officials","6","read classify assign followup","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","local officials -> text photos locations cases -> CV/audio/speech/HTR interpretation or deterministic decision -> case route unresolved view -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","HUMAN-IN-LOOP","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P004","Choose crop intervention","smallholders","7","observe crop consult advice","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","9","AI-NATIVE","smallholders -> photos weather crop stage -> CV/audio/speech/HTR interpretation or deterministic decision -> timely action -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","HIGH","REGULATED","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P005","Document certification processes","market farmers","6","record and hand off records","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","market farmers -> forms receipts logs -> none interpretation or deterministic decision -> traceable record -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","5","6","PARTIAL","HIGH","REGULATED","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow. High-consequence setting requires human accountable review and safety validation.","True"
"P006","Access farm information","low-income farmers","8","use phone service","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","low-income farmers -> voice SMS local condition -> none interpretation or deterministic decision -> usable low-bandwidth information -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","8","PARTIAL","HIGH","REGULATED","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P007","Judge crop maturity and harvest timing","vegetable growers","6","inspect crop decide harvest","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","vegetable growers -> photos notes dates -> CV/audio/speech/HTR interpretation or deterministic decision -> consistent maturity decision -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","HIGH","REGULATED","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P008","Align quality practices across farms","grower aggregators","6","issue advice compare records","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","grower aggregators -> logs images specs -> CV/audio/speech/HTR interpretation or deterministic decision -> comparable quality record -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","HIGH","REGULATED","M","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably. High-consequence setting requires human accountable review and safety validation.","False"
"P009","Receive and act on flood landslide warnings","remote communities","6","hear interpret evacuate","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","remote communities -> forecast maps contacts -> none interpretation or deterministic decision -> local warning action -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P010","Prepare evacuation tasks","commune teams","6","assemble needs routes weather","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","commune teams -> maps population lists updates -> none interpretation or deterministic decision -> prioritized task plan -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
