problem_id,domain,target_user,problem_statement,real_workflow,current_workaround,pain_type,frequency_estimate,failure_consequence,natural_inputs,desired_output_or_action,why_existing_workflow_is_insufficient,source_strength,source_refs,vietnam_relevance,notes
P001,public service,rural elderly citizens,Submit and track digital complaints,account form routing followup,in-person phone paper,access opacity,per request,missed resolution,free text photos forms status,correct route and plain status,UX coordination barriers,H,V01,direct,SOURCE-EVIDENCED
P002,public service,low-literacy disabled citizens,Navigate online government procedure,read form upload evidence,staff family visit,digital exclusion,per request,repeat trips,forms scans speech,legible submission next step,online access divide,H,V02,direct,SOURCE-EVIDENCED
P003,public service,local officials,Route disparate citizen feedback,read classify assign followup,channels spreadsheets,fragmentation,continuous,uneven replies,text photos locations cases,case route unresolved view,manual coordination,H,V01,direct,SOURCE-EVIDENCED
P004,agriculture,smallholders,Choose crop intervention,observe crop consult advice,experience generic weather,uncertain decisions,daily seasonal,yield loss,photos weather crop stage,timely action,limited predictive support,H,V03,direct,SOURCE-EVIDENCED
P005,agriculture,market farmers,Document certification processes,record and hand off records,handwritten logs,paper burden,per batch,unverifiable certification,forms receipts logs,traceable record,paper records hard to aggregate,H,V03,direct,SOURCE-EVIDENCED
P006,agriculture,low-income farmers,Access farm information,use phone service,word of mouth radio,access barrier,seasonal,missed advice,voice SMS local condition,usable low-bandwidth information,literacy affordability barriers,H,V03,direct,SOURCE-EVIDENCED
P007,agriculture,vegetable growers,Judge crop maturity and harvest timing,inspect crop decide harvest,visual judgement,quality uncertainty,each harvest,poor price yield,photos notes dates,consistent maturity decision,inconsistent practices,M,V04,direct,SOURCE-EVIDENCED case
P008,agriculture,grower aggregators,Align quality practices across farms,issue advice compare records,verbal instruction,quality inconsistency,each crop cycle,uncertain supply,logs images specs,comparable quality record,informal coordination,M,V04,direct,SOURCE-EVIDENCED
P009,disaster,remote communities,Receive and act on flood landslide warnings,hear interpret evacuate,informal calls observation,urgent communication,storm events,injury loss,forecast maps contacts,local warning action,timely dissemination difficult,H,V05,direct,SOURCE-EVIDENCED
P010,disaster,commune teams,Prepare evacuation tasks,assemble needs routes weather,manual local plans,planning complexity,storm events,missed vulnerable people,maps population lists updates,prioritized task plan,plans become stale,H,V05,direct,SOURCE-EVIDENCED
P011,disaster,reservoir managers,Operate under flood forecast,combine gauges forecast rules,conventional forecast rules,forecast limitation,high-water events,flood damage,gauges rain constraints,risk-informed operation,high-water uncertainty,H,V05,direct,SOURCE-EVIDENCED
P012,disaster,exposed households,Monitor landslide risk,watch slope and rain,reactive relocation,safety risk,rainy season,injury property loss,rain imagery reports,early risk flag,visual monitoring is late,H,V05,direct,SOURCE-EVIDENCED
P013,road safety,local authorities,Prioritize road safety treatments,combine crash road traffic evidence,legacy disconnected data,data blindness,continuous,untargeted interventions,reports imagery counts,prioritized locations,data quality gaps,H,V06,direct,SOURCE-EVIDENCED
P014,transport,vulnerable riders,Complete accessible urban trips,plan route and travel mixed traffic,motorcycle ad hoc route,mobility safety,daily,exclusion delays,route crowding needs,dependable accessible trip,poor transit and unsafe mix,H,V07,direct,SOURCE-EVIDENCED
P015,transport,pedestrians motorcyclists,Identify unsafe corridor conditions,navigate crossings and lanes,shared traffic,injury exposure,daily,collision risk,street video maps flows,condition report,facilities missing,H,V06,direct,SOURCE-EVIDENCED
P016,transport,city planners,Allocate road space,model competing mode demand,project by project planning,system complexity,planning cycles,congestion pollution,maps GPS counts,scenario intervention,interacting modes,H,V07,direct,SOURCE-EVIDENCED
P017,accessibility,disabled students teachers,Participate in ordinary lessons,adapt lesson and support learner,parent improvisation,inclusion barrier,daily,exclusion,materials responses needs,usable accommodation,trained teacher shortage,H,V08,direct,SOURCE-EVIDENCED
P018,accessibility,deaf users,Access signed public information,interpret speech text video,family mediation,communication barrier,daily,no access,audio video text signing,understandable visual equivalent,interpreter scarcity,H,V08,direct,SOURCE-EVIDENCED
P019,accessibility,visually impaired users,Use digital materials and services,navigate scans sites apps,helpers,inaccessible content,daily,service exclusion,pages scans screens,navigable accessible version,formats inaccessible,H,V08,direct,SOURCE-EVIDENCED
P020,accessibility,wheelchair users,Verify route and venue access,check location before trip,calls social posts,mobility uncertainty,per trip,abandoned trip,photos map reports,access condition route,facility information unavailable,H,V08,direct,SOURCE-EVIDENCED
