"prompt_id","timestamp","record_type","capture_status","phase","source","actor","agent","model","provider","harness","git_commit_after","raw_source_ref","notes"
"P000001","2026-08-11T08:05:09Z","PROMPT",,"harness-validation","buzz","system","","","","","34447abd9754101e77722593712373ced033788b","","Initial Buzz to Codex preflight verification"
"P000002","2026-08-11T09:48:27Z","PROMPT",,"harness-validation","codex","system","","","","","34447abd9754101e77722593712373ced033788b","","Final Codex preflight validation before product discovery"
"P000003","2026-08-11T09:55:13Z","PROMPT",,"preflight","antigravity","system","","","","","34447abd9754101e77722593712373ced033788b","","Final pre-flight validation passed. Ready for Product Discovery."
"P000004","2026-08-11T10:45:33Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff042-32f3-7c91-b829-1edd15724b23.jsonl",""
"P000005","2026-08-11T10:45:35Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff042-32f3-7c91-b829-1edd15724b23.jsonl",""
"P000006","2026-08-11T10:50:52Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff072-2e56-7aa0-82a5-115dd6509700.jsonl",""
"P000007","2026-08-11T10:50:53Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff072-2e56-7aa0-82a5-115dd6509700.jsonl",""
"P000008","2026-08-11T10:59:13Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff079-df37-7951-aa9e-c8c60d6880e4.jsonl",""
"P000009","2026-08-11T10:59:15Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff079-df37-7951-aa9e-c8c60d6880e4.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000010","2026-08-11T11:17:44Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff08a-dfed-7f31-aaa0-80e8b2c56787.jsonl",""
"P000011","2026-08-11T11:17:45Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff08a-dfed-7f31-aaa0-80e8b2c56787.jsonl",""
"P000012","2026-08-11T11:18:08Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff08b-4178-7850-8b10-5fb175ae1c6a.jsonl",""
"P000013","2026-08-11T11:18:09Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff08b-4178-7850-8b10-5fb175ae1c6a.jsonl",""
"P000014","2026-08-11T11:19:49Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff08c-cc55-79b0-9a40-42e1dac6a85a.jsonl",""
"P000015","2026-08-11T11:19:51Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff08c-cc55-79b0-9a40-42e1dac6a85a.jsonl",""
"P000016","2026-08-11T11:23:54Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff079-df37-7951-aa9e-c8c60d6880e4.jsonl",""
"P000017","2026-08-11T11:46:00Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl",""
"P000018","2026-08-11T11:46:03Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000019","2026-08-11T11:49:38Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a8-1421-7910-8fb2-512069320414.jsonl",""
"P000020","2026-08-11T11:49:40Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a8-1421-7910-8fb2-512069320414.jsonl",""
"P000021","2026-08-11T11:57:08Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0ae-f002-7351-92d2-757efe4847b1.jsonl",""
"P000022","2026-08-11T11:57:11Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0ae-f002-7351-92d2-757efe4847b1.jsonl",""
"P000023","2026-08-11T12:05:18Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0b6-6e3c-7910-8648-ed0bd4360d91.jsonl",""
"P000024","2026-08-11T12:05:22Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0b6-6e3c-7910-8648-ed0bd4360d91.jsonl",""
"P000025","2026-08-11T12:13:07Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl",""
"P000026","2026-08-11T12:13:09Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000027","2026-08-11T12:59:33Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl",""
"P000028","2026-08-11T12:59:34Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000029","2026-08-11T14:20:21Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl",""
"P000030","2026-08-11T14:36:55Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl",""
"P000031","2026-08-11T14:36:59Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl",""
"P000032","2026-08-11T14:45:04Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff148-b5ce-71e1-8d2c-133405c8c9f6.jsonl",""
"P000033","2026-08-11T14:45:06Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff148-b5ce-71e1-8d2c-133405c8c9f6.jsonl",""
"P000034","2026-08-11T14:46:07Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff149-61a8-7772-8820-e1680a78c4b4.jsonl",""
"P000035","2026-08-11T14:46:08Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff149-61a8-7772-8820-e1680a78c4b4.jsonl",""
"P000036","2026-08-11T14:47:46Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff14b-2fb6-7c11-8985-55ae76d72be8.jsonl",""
"P000037","2026-08-11T14:47:48Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff14b-2fb6-7c11-8985-55ae76d72be8.jsonl",""
"P000038","2026-08-11T14:53:07Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff150-164a-7143-809d-304283bb3bdd.jsonl",""
"P000039","2026-08-11T14:53:10Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff150-164a-7143-809d-304283bb3bdd.jsonl",""
"P000040","2026-08-11T14:54:16Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl",""
"P000041","2026-08-11T14:54:18Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000042","2026-08-11T14:57:56Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff0a3-497f-7e23-bd3d-6025550f5ef1.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000043","2026-08-11T15:42:01Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff17c-be67-7423-ad91-037346870eae.jsonl",""
"P000044","2026-08-11T15:42:03Z","PROMPT","blocked_secret","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff17c-be67-7423-ad91-037346870eae.jsonl","Capture blocked because the submitted prompt matched the secret-safety filter; prompt content was not stored."
"P000045","2026-08-11T15:46:57Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff181-5b7a-7270-a19e-1870bcc0a829.jsonl",""
"P000046","2026-08-11T15:46:59Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff181-5b7a-7270-a19e-1870bcc0a829.jsonl",""
"P000047","2026-08-11T15:48:46Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff182-ff62-7cf0-b6e9-dc77735ad564.jsonl",""
"P000048","2026-08-11T15:48:48Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff182-ff62-7cf0-b6e9-dc77735ad564.jsonl",""
"P000049","2026-08-11T15:50:48Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff184-e300-7901-9007-c9567578f7ac.jsonl",""
"P000050","2026-08-11T15:50:50Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff184-e300-7901-9007-c9567578f7ac.jsonl",""
"P000051","2026-08-11T15:58:19Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff18b-c2c6-74a3-8fa9-e847a4fa6383.jsonl",""
"P000052","2026-08-11T15:58:22Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff18b-c2c6-74a3-8fa9-e847a4fa6383.jsonl",""
"P000053","2026-08-11T16:02:58Z","PROMPT","session_start","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff190-06d0-7f93-9ed2-18a79d2e1a15.jsonl",""
"P000054","2026-08-11T16:02:59Z","PROMPT","captured","unavailable","codex","user","","","","","","evidence/private/codex/hook-events/019ff190-06d0-7f93-9ed2-18a79d2e1a15.jsonl",""
